,sub_id,sub_name,line,longtitude,latitude,bike_id
60,4508,삼가역,에버라인선,127.168075,37.242115,[]
61,4506,초당역,에버라인선,127.159443,37.260752,[]
62,4505,동백역,에버라인선,127.152716,37.269043,[]
63,4504,어정역,에버라인선,127.143714,37.274917,[]
64,4503,지석역,에버라인선,127.136515,37.269606,[]
65,4502,강남대역,에버라인선,127.126033,37.270161,[]
66,4501,기흥역,에버라인선,127.116665,37.275449,[]
67,4319,광교(경기대)역,신분당선(연장),127.044483,37.30211,[]
68,4318,광교중앙(아주대)역,신분당선(연장),127.051478,37.288617,[]
69,4317,상현역,신분당선(연장),127.069342,37.297664,[]
70,4316,성복역,신분당선(연장),127.0801,37.313335,[]
71,4315,수지구청역,신분당선(연장),127.095026,37.322702,[]
72,4314,동천역,신분당선(연장),127.102976,37.337928,[]
73,4313,미금역,신분당선(연장),127.108918,37.349982,[]
74,4312,정자역,신분당선,127.108403,37.367098,[]
75,4311,판교역,신분당선,127.112217,37.394761,[]
76,4310,청계산입구역,신분당선,127.055664,37.447211,"[2202, 2203, 2270, 2501]"
77,4309,양재시민의숲(매헌)역,신분당선,127.03842,37.470023,"[2251, 2255, 2256, 2274, 2276, 2550, 4303, 4317]"
78,4308,양재(서초구청)역,신분당선,127.034653,37.483809,"[2242, 2243, 2293, 2333, 2537, 3609, 4315, 4329]"
79,4307,강남역,신분당선,127.028104,37.496837,"[2231, 2407, 2505, 2515, 3628]"
80,4217,영종역,공항철도1호선,126.524254,37.51202,[]
81,4215,인천공항2터미널역,공항철도1호선,126.441442,37.460699,[]
82,4213,인천공항1터미널역,공항철도1호선,126.452508,37.447464,[]
83,4212,공항화물청사역,공항철도1호선,126.477516,37.459041,[]
84,4211,운서역,공항철도1호선,126.49379,37.492904,[]
85,4210,청라국제도시역,공항철도1호선,126.624648,37.556409,[]
86,4209,검암역,공항철도1호선,126.674007,37.569098,[]
87,4208,계양역,공항철도1호선,126.7363,37.571662,[]
88,4207,김포공항역,공항철도1호선,126.801904,37.561842,[5072]
89,4206,마곡나루역,공항철도1호선,126.827378,37.565543,"[1112, 1198, 2701, 2715, 2716, 2727, 2728, 2729, 2735, 5062]"
90,4204,디지털미디어시티역,공항철도1호선,126.898609,37.576958,"[194, 414, 415, 416, 417, 424, 948, 3008, 4238]"
91,4203,홍대입구역,공항철도1호선,126.926715,37.557438,"[113, 114, 115, 493, 3010]"
92,4202,공덕역,공항철도1호선,126.952024,37.54253,"[143, 144, 145, 495, 4202]"
93,4201,서울역역,공항철도1호선,126.969769,37.553247,"[379, 399, 442, 807, 826, 4794]"
94,4138,중앙보훈병원역,9호선(연장),127.148739,37.529191,"[1064, 1065, 1082]"
95,4137,둔촌오륜역,9호선(연장),127.137989,37.519683,"[1078, 1299, 2609, 3692, 4888]"
96,4136,올림픽공원(한국체대)역,9호선(연장),127.130288,37.516269,"[1215, 2622]"
97,4135,한성백제역,9호선(연장),127.116503,37.516404,"[1268, 2621, 4856, 4865, 4870]"
98,4134,송파나루역,9호선(연장),127.112216,37.510372,"[1211, 2620]"
99,4133,석촌역,9호선(연장),127.10704,37.505208,"[1251, 1262, 1296, 2623, 2639, 4864]"
100,4132,석촌고분역,9호선(연장),127.097033,37.502558,"[1293, 2601, 2619, 2632, 4876]"
101,4131,삼전역,9호선(연장),127.088025,37.504738,"[1220, 1221, 1235, 2618, 2646, 4874, 4876]"
102,4130,종합운동장역,9호선(연장),127.076275,37.511426,"[1205, 1206, 1224, 2637]"
103,4129,봉은사역,9호선(연장),127.060245,37.514219,"[2315, 2318, 2418, 2419, 3605]"
104,4128,삼성중앙역,9호선(연장),127.053282,37.513011,"[2318, 2380, 2388, 3604, 3636]"
105,4127,선정릉역,9호선(연장),127.043999,37.510297,"[2380, 2386, 2398, 2417, 3646]"
106,4126,언주역,9호선(연장),127.033868,37.507287,[2381]
107,4125,신논현역,9호선,127.02506,37.504598,"[2268, 2298, 2302, 2421, 2503, 2542]"
108,4124,사평역,9호선,127.015259,37.504206,"[2210, 2211, 2212, 2514, 2548]"
109,4123,고속터미널역,9호선,127.004403,37.50598,"[2213, 2219, 2524, 2525, 2526, 4307, 4312, 4316, 4330]"
110,4122,신반포역,9호선,126.995925,37.503415,"[2214, 2215, 2526, 2527, 2535, 4313, 4324]"
111,4121,구반포역,9호선,126.987332,37.501364,"[2220, 2509, 2530, 4324]"
112,4120,동작(현충원)역,9호선,126.978153,37.502878,"[2037, 2038]"
113,4119,흑석(중앙대입구)역,9호선,126.963708,37.50877,"[2025, 2026, 2027, 2064, 2078, 4153]"
114,4118,노들역,9호선,126.953222,37.512887,"[2002, 2003, 2076, 2077]"
