bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
182,0,,,,
183,0,,,,
184,0,,,,
185,0,,,,
186,0,,,,
188,0,,,,
191,0,,,,
192,0,,,,
194,0,,,,
195,0,,,,
196,0,,,,
198,0,,,,
199,0,,,,
200,0,,,,
201,0,,,,
202,0,,,,
203,4114,국회의사당,9호선,126.917874,37.528105
204,4114,국회의사당,9호선,126.917874,37.528105
205,0,,,,
206,0,,,,
207,2528,여의나루,5호선,126.932901,37.527098
209,0,,,,
210,0,,,,
211,4115,여의도,9호선,126.92403,37.52176
212,4115,여의도,9호선,126.92403,37.52176
213,0,,,,
214,0,,,,
215,0,,,,
217,0,,,,
219,0,,,,
220,0,,,,
221,0,,,,
222,0,,,,
223,0,,,,
224,0,,,,
225,4116,샛강,9호선,126.928422,37.517274
226,4116,샛강,9호선,126.928422,37.517274
227,0,,,,
228,4112,선유도,9호선,126.893525,37.53802
229,0,,,,
230,2524,영등포구청,5호선,126.89503,37.5242
231,0,,,,
232,2523,양평,5호선,126.886129,37.525569
233,0,,,,
234,0,,,,
235,0,,,,
236,0,,,,
237,0,,,,
238,0,,,,
239,0,,,,
240,235,문래,2호선,126.89476,37.517933
241,0,,,,
242,0,,,,
243,0,,,,
244,0,,,,
245,0,,,,
247,4113,당산,9호선,126.902809,37.533406
248,0,,,,
249,0,,,,
250,0,,,,
251,0,,,,
252,2744,보라매,7호선,126.920428,37.499872
253,2745,신풍,7호선,126.90993,37.50008
254,0,,,,
255,0,,,,
256,0,,,,
258,2526,신길,5호선,126.914839,37.517623
259,1005,대방,경부선,126.926382,37.513342
260,0,,,,
262,0,,,,
263,0,,,,
264,0,,,,
265,0,,,,
266,0,,,,
267,0,,,,
268,0,,,,
270,0,,,,
271,0,,,,
272,237,당산,2호선,126.902767,37.534946
274,1006,영등포,경부선,126.907628,37.515504
275,0,,,,
276,0,,,,
277,0,,,,
278,0,,,,
279,0,,,,
280,0,,,,
281,0,,,,
282,0,,,,
283,0,,,,
284,0,,,,
285,0,,,,
286,0,,,,
287,0,,,,
288,0,,,,
289,0,,,,
290,0,,,,
291,0,,,,
292,0,,,,
293,0,,,,
295,0,,,,
296,0,,,,
297,0,,,,
298,0,,,,
299,0,,,,
300,0,,,,
301,0,,,,
302,317,경복궁,3호선,126.97353,37.575762
303,0,,,,
305,0,,,,
306,2534,광화문,5호선,126.97717,37.571525
307,0,,,,
308,0,,,,
309,0,,,,
310,0,,,,
314,0,,,,
316,152,종각,1호선,126.982923,37.570161
318,0,,,,
320,202,을지로입구,2호선,126.982618,37.566014
321,202,을지로입구,2호선,126.982618,37.566014
322,0,,,,
324,0,,,,
326,318,안국,3호선,126.985443,37.576477
